,state,parlimen,party,voters
83,W.P. Kuala Lumpur,P.121 Lembah Pantai,PAKATAN HARAPAN (PH),101828
84,W.P. Kuala Lumpur,P.123 Cheras,PAKATAN HARAPAN (PH),101184
85,Sabah,P.188 Lahad Datu,PARTI WARISAN SABAH (WARISAN),100256
86,Pulau Pinang,P.047 Nibong Tebal,PAKATAN HARAPAN (PH),100062
87,Kelantan,P.027 Tanah Merah,PERIKATAN NASIONAL (PN),98782
88,Johor,P.145 Bakri,PAKATAN HARAPAN (PH),97335
89,Melaka,P.139 Jasin,PERIKATAN NASIONAL (PN),96208
90,Negeri Sembilan,P.127 Jempol,BARISAN NASIONAL (BN),95813
91,W.P. Kuala Lumpur,P.118 Setiawangsa,PAKATAN HARAPAN (PH),95753
92,Kedah,P.011 Pendang,PERIKATAN NASIONAL (PN),94547
93,Kelantan,P.022 Pasir Mas,PERIKATAN NASIONAL (PN),94544
94,W.P. Kuala Lumpur,P.114 Kepong,PAKATAN HARAPAN (PH),94285
95,Perak,P.059 Bukit Gantang,PERIKATAN NASIONAL (PN),94253
96,Pulau Pinang,P.050 Jelutong,PAKATAN HARAPAN (PH),93989
97,Perak,P.077 Tanjong Malim,PAKATAN HARAPAN (PH),93873
98,Melaka,P.135 Alor Gajah,PAKATAN HARAPAN (PH),93311
99,Kelantan,P.023 Rantau Panjang,PERIKATAN NASIONAL (PN),93248
100,Perak,P.074 Lumut,PERIKATAN NASIONAL (PN),92972
101,Pulau Pinang,P.048 Bukit Bendera,PAKATAN HARAPAN (PH),92521
102,Kelantan,P.031 Kuala Krai,PERIKATAN NASIONAL (PN),92335
103,Kedah,P.018 Kulim-Bandar Baharu,PERIKATAN NASIONAL (PN),90141
104,Perak,P.070 Kampar,PAKATAN HARAPAN (PH),89894
105,Pulau Pinang,P.043 Bagan,PAKATAN HARAPAN (PH),89447
106,Pahang,P.091 Rompin,PERIKATAN NASIONAL (PN),89131
107,Kelantan,P.029 Machang,PERIKATAN NASIONAL (PN),88825
108,Pulau Pinang,P.046 Batu Kawan,PAKATAN HARAPAN (PH),88812
109,Terengganu,P.038 Hulu Terengganu,PERIKATAN NASIONAL (PN),87917
110,Pahang,P.083 Kuantan,PERIKATAN NASIONAL (PN),87597
111,Sabah,P.180 Keningau,PARTI GABUNGAN RAKYAT SABAH (GRS),87588
112,Sabah,P.190 Tawau,PARTI GABUNGAN RAKYAT SABAH (GRS),87477
113,Sarawak,P.211 Lanang,PAKATAN HARAPAN (PH),87356
114,Perak,P.076 Teluk Intan,PAKATAN HARAPAN (PH),87222
115,Pahang,P.089 Bentong,PAKATAN HARAPAN (PH),87058
116,Pahang,P.081 Jerantut,PERIKATAN NASIONAL (PN),87051
117,Kelantan,P.026 Ketereh,PERIKATAN NASIONAL (PN),85281
118,Sabah,P.191 Kalabakan,BARISAN NASIONAL (BN),83970
119,Sabah,P.170 Tuaran,PAKATAN HARAPAN (PH),83419
120,Pulau Pinang,P.041 Kepala Batas,PERIKATAN NASIONAL (PN),83081
121,Sarawak,P.197 Kota Samarahan,GABUNGAN PARTI SARAWAK (GPS),82229
122,Negeri Sembilan,P.133 Tampin,BARISAN NASIONAL (BN),81099
123,Pulau Pinang,P.042 Tasek Gelugor,PERIKATAN NASIONAL (PN),80868
124,W.P. Kuala Lumpur,P.119 Titiwangsa,BARISAN NASIONAL (BN),80747
125,Sabah,P.168 Kota Marudu,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),80735
126,Perak,P.058 Bagan Serai,PERIKATAN NASIONAL (PN),80293
127,Pulau Pinang,P.053 Balik Pulau,PAKATAN HARAPAN (PH),80264
128,Sarawak,P.198 Puncak Borneo,GABUNGAN PARTI SARAWAK (GPS),79969
129,Sabah,P.169 Kota Belud,PARTI WARISAN SABAH (WARISAN),79885
130,W.P. Kuala Lumpur,P.120 Bukit Bintang,PAKATAN HARAPAN (PH),79782
131,Pahang,P.084 Paya Besar,BARISAN NASIONAL (BN),79744
132,Sarawak,P.193 Santubong,GABUNGAN PARTI SARAWAK (GPS),79540
133,Johor,P.147 Parit Sulong,BARISAN NASIONAL (BN),79484
134,Johor,P.149 Sri Gading,PAKATAN HARAPAN (PH),78602
135,Pahang,P.090 Bera,BARISAN NASIONAL (BN),77669
136,Sabah,P.174 Penampang,PAKATAN HARAPAN (PH),77214
137,Sabah,P.167 Kudat,BEBAS (BEBAS),75724
138,Johor,P.164 Pontian,BARISAN NASIONAL (BN),75212
139,Pahang,P.080 Raub,PAKATAN HARAPAN (PH),75064
140,Perlis,P.002 Kangar,PERIKATAN NASIONAL (PN),74859
141,Perak,P.073 Pasir Salak,PERIKATAN NASIONAL (PN),74761
142,Sabah,P.172 Kota Kinabalu,PAKATAN HARAPAN (PH),74059
143,Perak,P.062 Sungai Siput,PAKATAN HARAPAN (PH),72395
144,Sabah,P.184 Libaran,BARISAN NASIONAL (BN),72332
145,Sabah,P.189 Semporna,PARTI WARISAN SABAH (WARISAN),72169
146,Johor,P.165 Tanjung Piai,BARISAN NASIONAL (BN),70679
147,Kelantan,P.032 Gua Musang,PERIKATAN NASIONAL (PN),70254
148,Johor,P.143 Pagoh,PERIKATAN NASIONAL (PN),69939
149,Johor,P.140 Segamat,PAKATAN HARAPAN (PH),69360
