code_parlimen,ethnicity_proportion_bumi,Winner,Vote Share
P.103,49.380408,PH,47.91854417977825
P.104,36.79921826,PH,64.65448947371378
P.105,52.01477057,PH,34.6731842426403
P.106,33.70843334,PH,71.23650228367927
P.107,71.15021153,PH,2.077306983238069
P.108,74.53255964,PH,13.327686528688222
P.109,77.93117976,PN,7.455546415237613
P.110,41.07562617,PH,56.00866355510814
P.111,50.5234651,PH,37.42186709820977
P.112,67.28414271,PN,1.4798966575165509
P.113,71.25410272,PH,6.486897901489616
P.126,76.21775561,BN,17.922530551021307
P.127,66.37316805,BN,8.157949717946932
P.128,62.50265579,PH,25.017641476530752
P.129,80.95361942,BN,13.322510377707452
P.130,46.01485118,PH,51.78919049886792
P.131,78.91813584,BN,18.181402829050768
P.132,55.19602097,PH,29.852216748768473
P.133,62.5424726,BN,2.0906722592695757
P.134,90.49549351,PN,8.056768160149044
P.135,73.33718319,PH,1.2191780821917808
P.136,76.7923354,PN,9.61565627478892
P.137,68.35017829,PH,9.142095125203733
P.138,53.39398181,PH,37.68438314350428
P.139,82.12002007,PN,0.4149591484316606
P.140,57.96560197,PH,11.192055595040669
P.141,60.50412417,PH,3.594750917345606
P.142,49.97436029,PH,8.153691178586847
P.143,72.76856689,PN,18.398264418745747
P.144,65.6562438,PH,12.164568468502123
P.145,50.33066335,PH,26.324856439704675
P.146,69.55244196,MU,2.530193009518793
P.147,89.08868363,BN,3.2102805222861135
P.148,64.94928889,BN,6.345840829264114
P.149,70.14682721,PH,6.529119874640898
P.150,56.75521298,PH,16.053229340462742
P.151,67.51952681,BN,4.126351091069769
P.152,52.87849629,PH,27.61527279572479
P.153,68.30857059,BN,26.58196921573418
P.154,88.9499406,PN,4.9823050356031215
P.155,79.58246534,BN,5.824732229795521
P.156,95.77621691,BN,17.72547693997845
P.157,93.16718682,BN,11.974187380497131
P.158,53.09014122,PH,18.28952460333998
P.159,60.16661097,PH,21.140139335476956
P.160,54.751578,PH,16.993844882565444
P.161,47.32300909,PH,28.280606634101428
P.162,47.65249325,PH,36.678885630498534
P.163,53.68423673,PH,31.255585537903567
P.164,77.6971731,BN,10.128229934389896
P.165,66.7494819,BN,11.650912288415036
P.167,94.12439917,IN,4.3606455617628805
P.168,97.59647372,KD,16.365674928923237
P.169,97.80847145,WA,8.479375242889132
P.114,20.17352841,PH,84.46051521730112
P.115,56.58838802,PH,25.5215385674615
P.116,61.65203675,PH,22.316152684925598
P.117,32.42915982,PH,69.8091138766726
P.118,69.7025533,PH,16.269862500668772
P.119,67.72840477,BN,7.611160406191462
P.120,27.06689284,PH,73.63042164122714
P.121,59.12156533,PH,18.134890632739786
P.122,31.10414243,PH,76.82553113636884
P.123,32.21214371,PH,75.8899450840465
P.124,67.93719551,PH,10.553530923124885
P.125,97.89718089,PN,6.304068989984445
P.166,86.21749241,PN,2.4886639249182747
